Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Eet smakelijk.;Eten en drinken;;;Henrianne;;
eet vier happen van de broccoli en dan kan je nog eventjes de kip eten.;Eten en drinken;;;Henrianne;;
ellebogen niet op tafel.;Eten en drinken;;;Henrianne;;
Er zit allemaal appelstroop op je mond.;Eten en drinken;;;Henrianne;;
Er zit allemaal jam in je haar.;Eten en drinken;;;Henrianne;;
Er zit allemaal pindakaas op je oor.;Eten en drinken;;;Henrianne;;
eten geeft je energie.;Eten en drinken;;;Henrianne;;
Eten is om te eten, niet om mee te spelen.;eten en drinken;;;Henrianne;;
Even lepels pakken.;Eten en drinken;;;Henrianne;;
Even recht zitten.;Eten en drinken;;;Henrianne;;
Even wachten met eten.;Eten en drinken;;;Henrianne;;
Even wachten tot je broer ook klaar is, dan mag je van tafel.;Eten en drinken;;;Henrianne;;
ga maar vast zelf in je stoel zitten.;Eten en drinken;;;Henrianne;;
Gaan we de tafel dekken?;Eten en drinken;;;Henrianne;;
Gaan we fruit eten?;Eten en drinken;;;Henrianne;;
Gebruik je servet;Eten en drinken;;;Henrianne;;
geen speelgoed op tafel leggen, we gaan nu eten;Eten en drinken;;;Henrianne;;
Goed kauwen.;Eten en drinken;;;Henrianne;;
Goed op je billen zitten.;Eten en drinken;;;Henrianne;;
Haal de deksel er maar af.;Eten en drinken;;;Henrianne;;
Heb je al je brood opgegeten?;Eten en drinken;;;Henrianne;;
Heb je genoeg gegeten? ;eten en drinken;;;Henrianne;;
Heb je het gevraagd?;Eten en drinken;;;Henrianne;;
Heb je het wel geprobeerd?;Eten en drinken;;;Henrianne;;
Heb je honger?;Eten en drinken;;;Henrianne;;
Heb je je drinkbeker opgedronken?;Eten en drinken;;;Henrianne;;
Heb je zin in appelsap of limonade?;eten en drinken;;;Henrianne;;
Heb je zin in een perzik?;eten en drinken;;;Henrianne;;
Hebben jullie alles opgegeten?;eten en drinken;;;Henrianne;;
Het eten is bijna klaar.;eten en drinken;;;Henrianne;;
Het eten kan nog warm zijn.;Eten en drinken;;;Henrianne;;
Hierna gaan we lekker een boterhammetje eten.;Eten en drinken;;;Diego;;
Hou je slab nog even om.;Eten en drinken;;;Diego;;
ik heb een lekkere salade gemaakt;Eten en drinken;;;Diego;;
Ik maak lekker een kopje thee voor je.;eten en drinken;;;Diego;;
Ik schuif je een beetje aan, zodat je niet van de stoel afvalt.;eten en drinken;;;Diego;;
Ik snij de druifjes eventjes doormidden.;eten en drinken;;;Diego;;
Is het lekker?;Eten en drinken;;;Diego;;
Is het op?;Eten en drinken;;;Diego;;
